idkikj,idj,name_latin,id_cg,NOM_AR,gou,gou_nom,reg,reg_nom,zon,zon_nom,cap_gou,dist_cap_gou,niveau_urbain,dist_cap_tunis,dist_port_export,population_2014,idr_2011,delegation,gouvernorat,firmsdeleg,firmsgouv
TN111,TN111,Carthage,TS1110,قرطاج,TS111,Tunis,TS11,Nord-est,TS1,Nord,1,1,(6) plus de 1 000 000,"16,9","8,9",24216,"0,513",1151,11,2792,150885
TN112,TN112,La  Medina,TS1111,المدينة,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"16,9",(6) plus de 1 000 000,1,"16,2",21400,"0,418",1152,11,5035,150885
TN113,TN113,Bab Bhar,TS1112,باب بحر,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"15,5",(6) plus de 1 000 000,"2,4","15,2",36210,1,1153,11,35979,150885
TN114,TN114,Bab Souika,TS1113,باب سويقة,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"17,1",(6) plus de 1 000 000,"2,1",17,29185,"0,922",1154,11,6064,150885
TN115,TN115,Elomrane,TS1114,العمران,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"17,5",(6) plus de 1 000 000,"3,7","18,3",42208,"0,42",1155,11,2297,150885
TN116,TN116,Elomrane Supérieur,TS1115,العمران  الأعلى,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"19,7",(6) plus de 1 000 000,"7,1","21,7",55513,"0,462",1156,11,4477,150885
TN117,TN117,Ettahrir,TS1116,التحرير,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"20,2",(6) plus de 1 000 000,"6,2","21,3",21709,"0,501",1157,11,1818,150885
TN118,TN118,El Menzah,TS1117,المنزه,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"16,6",(6) plus de 1 000 000,"5,3","18,8",41830,"0,654",1158,11,9829,150885
TN119,TN119,Cité Elkhadra,TS1118,حي الخضراء,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"11,7",(6) plus de 1 000 000,"7,2",14,35173,"0,791",1159,11,16937,150885
TN11A,TN11A,Le Bardo,TS1119,باردو,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"20,3",(6) plus de 1 000 000,"5,3","20,5",71961,"0,476",1160,11,8588,150885
TN11B,TN11B,Sijoumi,TS111A,السيجومي,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"17,9",(6) plus de 1 000 000,"2,3","16,4",33870,"0,317",1161,11,2797,150885
TN11C,TN11C,Ezzouhour,TS111B,الزهور,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"20,2",(6) plus de 1 000 000,"4,4","19,3",40728,"0,38",1162,11,3234,150885
TN11D,TN11D,Elhrairia,TS111C,الحرايرية,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"26,7",(6) plus de 1 000 000,"11,2","25,9",110184,"0,422",1163,11,7797,150885
TN11E,TN11E,Sidi Hassine,TS111D,سيدي حسين,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"26,8",(6) plus de 1 000 000,"11,2","23,8",109672,"0,397",1164,11,5500,150885
TN11F,TN11F,El Ourdia,TS111E,الوردية,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"17,4",(6) plus de 1 000 000,"5,3","13,8",32147,"0,401",1165,11,4393,150885
TN11G,TN11G,El Kabaria,TS111F,الكبارية,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"17,3",(6) plus de 1 000 000,"7,3","12,6",86024,"0,428",1166,11,3589,150885
TN11H,TN11H,Sidi El Bechir,TS111G,سيدي البشير,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"16,6",(6) plus de 1 000 000,"2,6","14,9",27749,"0,545",1167,11,290,150885
TN11I,TN11I,Djbel Djloud,TS111H,جبل الجلود,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"15,9",(6) plus de 1 000 000,"6,3","11,9",23638,"0,356",1168,11,1328,150885
TN11J,TN11J,La Goulette,TS111I,حلق الوادي,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"4,9",(6) plus de 1 000 000,"14,1",5,45711,"0,61",1169,11,2818,150885
TN11K,TN11K,lE Kram,TS111J,الكرم,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"5,8",(6) plus de 1 000 000,"12,4","9,2",74132,"0,48",1170,11,5986,150885
TN11L,TN11L,La Marsa,TS111K,المرسى,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,"5,9",(6) plus de 1 000 000,"16,9","12,7",92987,"0,588",1171,11,19337,150885
TN121,TN121,Ariana Ville,TS1120,أريانة المدينة,TS112,Ariana,TS11,Nord-est,TS1,Nord,1,1,(6) plus de 1 000 000,"8,3","19,3",114486,"0,638",1251,12,22300,59954
TN122,TN122,Soukra,TS1121,سكرة,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,"6,7",(6) plus de 1 000 000,"11,8","16,3",129693,"0,557",1252,12,12774,59954
TN123,TN123,Raoued,TS1122,رواد,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,"8,8",(6) plus de 1 000 000,"16,1","23,5",106414,"0,531",1253,12,9149,59954
TN124,TN124,kalaât El Andalous,TS1123,قلعة الاندلس,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,"19,8",(2) 10-20 000,27,"33,4",26796,"0,383",1254,12,1525,59954
TN125,TN125,Sidi Thabet,TS1124,سيدي ثابت,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,15,(1) moins de 10 000,"19,7","33,3",24503,"0,358",1255,12,1427,59954
TN126,TN126,Cité Ettathamen,TS1125,حي التضامن,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,"8,8",(6) plus de 1 000 000,"9,6","24,7",84312,"0,386",1256,12,6417,59954
TN127,TN127,EL Mnihla,TS1126,المنيهلة,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,8,(6) plus de 1 000 000,"11,5","26,1",89884,"0,466",1257,12,6362,59954
TN131,TN131,Ben Arous,TS1130,بن عروس,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,1,1,(6) plus de 1 000 000,"9,2","10,8",31128,"0,489",1351,13,4955,56953
TN132,TN132,La Nouvelle Medina,TS1131,المدينة الجديدة,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,"3,5",(6) plus de 1 000 000,"11,6","9,8",57194,"0,468",1352,13,4361,56953
TN133,TN133,El Mourouj,TS1132,المروج,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,"3,6",(6) plus de 1 000 000,"10,4",13,104538,"0,557",1353,13,8264,56953
TN134,TN134,Hammam Lif,TS1133,حمام الانف,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,"12,2",(5) 100 000-1 000 000,"19,6","12,9",42518,"0,439",1354,13,4641,56953
TN135,TN135,Hammam Chott,TS1134,حمام الشط,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,16,(5) 100 000-1 000 000,"23,7",17,31858,"0,456",1355,13,2554,56953
TN136,TN136,Bou Mhel El Bassatine,TS1135,بومهل البساتين,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,"9,5",(5) 100 000-1 000 000,"17,4","12,1",40101,"0,51",1356,13,4012,56953
TN137,TN137,Ezzahra,TS1136,الزهراء,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,"7,4",(5) 100 000-1 000 000,"14,9","9,1",34962,"0,523",1357,13,3642,56953
TN138,TN138,Radès,TS1137,رادس,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,"6,8",(6) plus de 1 000 000,"12,2",5,59998,"0,504",1358,13,5738,56953
TN139,TN139,Megrine,TS1138,مقرين,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,"3,7",(6) plus de 1 000 000,"8,6","8,9",26720,"0,54",1359,13,4866,56953
TN13A,TN13A,Mohamedia,TS1139,المحمدية,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,"17,9",(4) 50-100 000,"19,6","27,6",66439,"0,37",1360,13,3584,56953
TN13B,TN13B,Fouchana,TS113A,فوشانة,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,"7,4",(6) plus de 1 000 000,"12,3","16,9",74868,"0,475",1361,13,6197,56953
TN13C,TN13C,Mornag,TS113B,مرناق,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,"18,4",(5) 100 000-1 000 000,"25,9","24,5",61518,"0,416",1362,13,4139,56953
TN141,TN141,Manouba,TS1140,منوبة,TS114,Manubah,TS11,Nord-est,TS1,Nord,1,1,(6) plus de 1 000 000,12,"27,1",58792,"0,57",1451,14,6756,28467
TN142,TN142,Douar Hicher,TS1141,دوار هيشر,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,"3,3",(6) plus de 1 000 000,"12,7","27,9",84090,"0,398",1452,14,6126,28467
TN143,TN143,Oued Elil,TS1142,واد الليل,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,"7,8",(6) plus de 1 000 000,"18,8","33,9",69317,"0,422",1453,14,4639,28467
TN144,TN144,Mornaguia,TS1143,المرناقية,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,18,(2) 10-20 000,"25,5","38,3",42687,"0,383",1454,14,3405,28467
TN145,TN145,Borj Amri,TS1144,برج العامري,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,"24,3",(1) moins de 10 000,"33,4","46,7",17408,"0,318",1455,14,1106,28467
TN146,TN146,Jedeida,TS1145,الجديدة,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,"17,6",(3) 20-50000,"28,3","31,2",44748,"0,35",1456,14,2556,28467
TN147,TN147,Tebourba,TS1146,طبربة,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,"31,6",(3) 20-50000,"42,6","34,1",43499,"0,319",1457,14,2950,28467
TN148,TN148,El Battane,TS1147,البطان,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,"30,1",(1) moins de 10 000,"40,6","42,8",18977,"0,279",1458,14,929,28467
TN151,TN151,Nabeul,TS1150,نابل,TS115,Nabeul,TS11,Nord-est,TS1,Nord,1,1,(5) 100 000-1 000 000,"62,1","55,5",73128,"0,523",1551,15,9077,61569
TN152,TN152,Dar Chaabane,TS1151,دار شعبان الفهري,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"6,7",(5) 100 000-1 000 000,"61,1","54,2",46781,"0,456",1552,15,3492,61569
TN153,TN153,Beni Khiar,TS1152,بني خيار,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"11,5",(5) 100 000-1 000 000,"67,1",60,43132,"0,424",1553,15,3228,61569
TN154,TN154,Korba,TS1153,قربة,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"21,4",(3) 20-50000,"64,9","57,8",68964,"0,392",1554,15,4196,61569
TN155,TN155,Menzel Temime,TS1154,منزل تميم,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"43,6",(3) 20-50000,"70,7","61,8",65645,"0,357",1555,15,3595,61569
TN156,TN156,EL Mida,TS1155,الميدة,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"32,6",(1) moins de 10 000,"64,3",56,26995,"0,339",1556,15,1066,61569
TN157,TN157,Kelibia,TS1156,قليبية,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"56,5",(4) 50-100 000,"81,6","72,5",58491,"0,38",1557,15,4292,61569
TN158,TN158,Hammam El Guezaz,TS1157,حمام الغزاز,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,63,(1) moins de 10 000,"86,5","77,4",15727,"0,293",1558,15,733,61569
TN159,TN159,El Houaria,TS1158,الهوارية,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"60,7",(1) moins de 10 000,"73,9","64,8",41317,"0,304",1559,15,1830,61569
TN15A,TN15A,Takelsa,TS1159,تاكلسة,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"39,1",(3) 20-50000,"48,6","39,6",22151,"0,298",1560,15,1003,61569
TN15B,TN15B,Sliman,TS115A,سليمان,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,32,(5) 100 000-1 000 000,"35,4","28,3",53491,"0,478",1561,15,4515,61569
TN15C,TN15C,Menzel Bouzelfa,TS115B,منزل بوزلفة,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"26,4",(5) 100 000-1 000 000,49,"41,4",37860,"0,372",1562,15,2334,61569
TN15D,TN15D,Beni Khaled,TS115C,بني خلاد,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"18,2",(5) 100 000-1 000 000,"50,3","43,2",37964,"0,399",1563,15,2786,61569
TN15E,TN15E,Grombelia,TS115D,قرمبالية,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"27,8",(3) 20-50000,"35,6","29,6",67475,"0,458",1564,15,6689,61569
TN15F,TN15F,Bouargoub,TS115E,بوعرقوب,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"12,8",(2) 10-20 000,"50,3","43,8",30942,"0,35",1565,15,2070,61569
TN15G,TN15G,Hammamet,TS115F,الحمامات,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,"19,2",(5) 100 000-1 000 000,"52,5","47,5",97855,"0,527",1566,15,10663,61569
TN161,TN161,Zaghouan,TS1160,زغوان,TS116,Zaghouan,TS11,Nord-est,TS1,Nord,1,1,(2) 10-20 000,"45,2","46,5",38445,"0,417",1651,16,3397,11014
TN162,TN162,Ez Zeriba,TS1161,الزريبة,TS116,Zaghouan,TS11,Nord-est,TS1,Nord,0,13,(2) 10-20 000,"56,4","56,5",24617,"0,366",1652,16,1234,11014
TN163,TN163,Bir Mchergua,TS1162,بئر مشارقة,TS116,Zaghouan,TS11,Nord-est,TS1,Nord,0,"22,3",(1) moins de 10 000,"37,2","44,1",24387,"0,425",1653,16,1602,11014
TN164,TN164,Elfahs,TS1163,الفحص,TS116,Zaghouan,TS11,Nord-est,TS1,Nord,0,"34,8",(3) 20-50000,"66,9",73,46449,"0,297",1654,16,2682,11014
TN165,TN165,En Nadhour,TS1164,الناظور,TS116,Zaghouan,TS11,Nord-est,TS1,Nord,0,"37,8",(1) moins de 10 000,"79,7","73,6",30366,"0,162",1655,16,1721,11014
TN166,TN166,Saouef,TS1165,صواف,TS116,Zaghouan,TS11,Nord-est,TS1,Nord,0,"23,6",(1) moins de 10 000,"67,9","66,5",12681,"0,162",1656,16,378,11014
TN171,TN171,Bizerte Nord,TS1170,بنزرت الشمالية,TS117,Bizerte,TS11,Nord-est,TS1,Nord,1,1,(5) 100 000-1 000 000,"65,6","26,3",87307,"0,485",1751,17,11922,37429
TN172,TN172,Zarzouna,TS1171,جرزونة,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"8,9",(5) 100 000-1 000 000,"57,9","21,5",24793,"0,423",1752,17,1718,37429
TN173,TN173,Bizerte Sud,TS1172,بنزرت الجنوبية,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"17,4",(5) 100 000-1 000 000,"69,8","26,7",55659,"0,368",1753,17,238,37429
TN174,TN174,Sedjnene,TS1173,سجنان,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"55,5",(1) moins de 10 000,"92,4","56,5",40166,"0,154",1754,17,1640,37429
TN175,TN175,Djoumine,TS1174,جومين,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"62,3",(1) moins de 10 000,"73,4","52,3",29029,"0,14",1755,17,807,37429
TN176,TN176,Mateur,TS1175,ماطر,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"39,6",(3) 20-50000,"53,1","26,2",46975,"0,346",1756,17,3337,37429
TN177,TN177,Ghezella,TS1176,غزالة,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"41,5",(1) moins de 10 000,"72,5","37,5",26977,"0,166",1757,17,894,37429
TN178,TN178,Menzel Bourguiba,TS1177,منزل بورقيبة,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"22,3",(4) 50-100 000,"48,1",5,61919,"0,406",1758,17,4538,37429
TN179,TN179,Tinja,TS1178,تينجة,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"22,2",(4) 50-100 000,"54,8","12,9",23455,"0,323",1759,17,1215,37429
TN17A,TN17A,Utique,TS1179,اوتيك,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"33,1",(1) moins de 10 000,"34,4","18,9",19922,"0,325",1760,17,972,37429
TN17B,TN17B,Ghar El Meleh,TS117A,غار الملح,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"31,1",(1) moins de 10 000,"42,3","31,5",19477,"0,358",1761,17,1139,37429
TN17C,TN17C,Menzel Djmil,TS117B,منزل جميل,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"15,6",(5) 100 000-1 000 000,52,"20,9",47224,"0,446",1762,17,3450,37429
TN17D,TN17D,El Alia,TS117C,العالية,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"22,6",(2) 10-20 000,45,"20,9",27075,"0,396",1763,17,1839,37429
TN17E,TN17E,Ras Djbel,TS117D,راس الجبل,TS117,Bizerte,TS11,Nord-est,TS1,Nord,0,"27,1",(3) 20-50000,"49,2","32,7",58241,"0,429",1764,17,3720,37429
TN211,TN181,Béja Nord,TS1210,باجة الشمالية,TS121,Beja,TS12,Nord-ouest,TS1,Nord,1,1,(4) 50-100 000,"87,3",70,71198,"0,339",2151,21,5742,18312
TN212,TN182,Béja Sud,TS1211,باجة الجنوبية,TS121,Beja,TS12,Nord-ouest,TS1,Nord,0,"19,2",(4) 50-100 000,"93,3","84,2",38101,"0,299",2152,21,2414,18312
TN213,TN183,Amdoun,TS1212,عمدون,TS121,Beja,TS12,Nord-ouest,TS1,Nord,0,"18,9",(1) moins de 10 000,"105,3",86,21187,"0,205",2153,21,890,18312
TN214,TN184,Nefza,TS1213,نفزة,TS121,Beja,TS12,Nord-ouest,TS1,Nord,0,"26,4",(1) moins de 10 000,"104,5","76,5",48101,"0,173",2154,21,2043,18312
